name,category,official_url,official_evidence,not_proven,fit,confidence,status,notes
Perform[cb],performance marketing network,https://www.performcb.com/,Official title identifies performance-based user acquisition.,Homepage alone does not prove list ownership.,Potential performance channel requiring source transparency.,medium,current,Official homepage captured.
Anteriad, B2B demand generation/data services,https://www.anteriad.com/,Official homepage identifies audience identification and activation demand generation performance marketing and analytics/intelligence.,This is not evidence of consumer list rental or permissioned email inventory.,Potential B2B audience/data partner; require product-specific media evidence.,medium,current,Anteriad page was reached from the meritdirect domain capture.
Passionfroot,creator partnership marketplace,https://passionfroot.me/,"Official homepage describes creator-led GTM, creator discovery matched to ICP, campaign tracking, and creator partnerships.",Creator database or matching is not proof of newsletter/email inventory or response quality.,Useful creator sponsorship discovery lane when the offer fits the creator audience.,medium,current,Official homepage captured.
FlexOffers,affiliate network,https://www.flexoffers.com/,Official title identifies performance-based marketing.,Homepage title alone does not prove email inventory or list ownership.,Potential affiliate distribution channel requiring source-level traffic clearance.,medium,current,Official homepage captured.
ShareASale/Awin,affiliate network transition,https://www.shareasale.com/,Official page says ShareASale is now Awin and points to Awin affiliate participation.,Transition page is not evidence of dedicated email inventory.,Use Awin as the current network reference; treat ShareASale as historical/redirect context.,high,current,Official page captured.
ANA,advertising trade association,https://www.ana.net/,Official homepage identifies the Association of National Advertisers.,Association membership is not list inventory or a broker recommendation.,Useful discovery and standards/networking layer.,medium,current,Official homepage captured.
DMAW,direct marketing trade association,https://dmaw.org/,Official homepage identifies the Direct Marketing Association of Washington.,Association membership is not list inventory or a broker recommendation.,Useful discovery and professional-networking layer for direct response.,medium,current,Official homepage captured.
LSC Marketing Group,list brokerage/data/media services,https://lscmarketinggroup.com/,"Official site navigation exposes data acquisition/list brokerage, list rental fulfillment, data modeling, enhancement, media strategy, and campaign execution.",Site role evidence does not prove any specific list's performance or permission for a particular offer.,Strong candidate for list-brokerage and media strategy inquiry; clear offer before use.,high,current,List Services domain resolves to LSC Marketing Group; official page captured.
USADATA,audience/data/omnichannel provider,https://www.usadata.com/,Official title identifies data-driven marketing and audience intelligence with targeting and omnichannel execution.,Does not by itself prove permissioned newsletter inventory or direct-response list rental.,Potential audience/data partner; require product-specific list and permission evidence.,medium,current,Official page captured.
Exact Data,mailing lists/data provider,https://www.exactdata.com/,"Official page title identifies mailing lists and leads and exposes consumer lists, direct mail, email marketing, data licensing, enrichment, and prospect-list building.","Marketing claims require source, freshness, permission, sample, and suppression review.",Useful data/list research and direct-mail inquiry lane; do not equate file access with send permission.,high,current,Official page captured.
Data Axle,data/audience/direct-mail provider,https://www.data-axle.com/,"Official site describes business and consumer data, direct mail, prospecting lists, targeted permission-based acquisition email, data licensing, and hygiene/enhancement.",Provider capability does not prove a specific segment or send is appropriate for an offer.,Strong data and activation candidate; separate direct mail/data licensing from permissioned email media.,high,current,Official page captured.
Wiland,modeled marketing audiences/data,https://wiland.com/,"Official site describes modeled audiences from consumer spending and intent data, prospect targeting, data enhancement, and predictive intelligence.",Modeled audience is not the same as publisher-owned buyer/subscriber list inventory.,Useful modeling/enhancement layer and prospect discovery candidate.,high,current,Official page captured.
Epsilon,identity/audience/marketing data,https://www.epsilon.com/us,"Official page describes identity resolution, consumer marketing data, acquisition, high-value customer identification, email, and cross-channel activation.",Platform and data capabilities do not prove a named list rental or newsletter send.,Useful enterprise audience and activation candidate; require channel-specific media evidence.,medium,current,Official page captured.
Acxiom,data/identity/marketing services,https://www.acxiom.com/,"Official site describes connected identity, smarter engagement, prospect and repeat-customer growth, and data/technology services.",Does not prove direct-response list rental or email inventory.,Useful identity and audience intelligence candidate; not a list-broker substitute.,medium,current,Official page captured.
ListSource/CoreLogic,property/homeowner prospect lists,https://www.listsource.com/homepage/index.html,"Official page describes homeowner, property, and demographic prospect lists, direct marketing leads, daily updates, and broad U.S. property coverage.",Property-data coverage does not prove permissioned email access or response performance.,Strong vertical direct-mail/homeowner data lane.,high,current,ListSource page resolves under CoreLogic.
Experian Marketing,data/identity/audience activation,https://www.experian.com/marketing/,"Official page describes consumer data, identity, audience segmentation, activation, cross-device targeting, and channel activation.",Does not prove a specific rented list or dedicated email placement.,Useful enterprise data/activation candidate; require list/media-specific scope.,medium,current,Official page captured.
SRDS Direct Marketing,paid list/media-planning database,https://srds.com/direct-marketing-lists/,"Official page describes more than 65000 direct-marketing list opportunities with counts, base rental prices, requirements, and policies.",Database access does not itself rent lists or guarantee current availability/performance.,High-value professional research layer for list selection and datacard comparison.,high,current,RAW_OFFICIAL_FETCHES/srds_direct_marketing.html
Estee Marketing Group,list brokerage/list management,https://www.esteemarketing.com/our-company-direct-marketing-list-services/,"Official pages describe list brokerage, list management, campaign/donor analysis, mail planning, insert media, national promotion of client lists, and controlled exchanges.",No public rate card or minimums; current availability must be confirmed per file.,"Strong traditional brokerage/management candidate for consumer, B2B, nonprofit, donor, buyer, and subscriber files.",high,current,RAW_OFFICIAL_FETCHES/esteemarketing_emg.html
Conrad Direct,list brokerage/list management,https://conraddirect.com/services/lists/,"Official list-services page describes list brokerage, list management, cooperative databases, donor/member/customer files, and review of rental orders.",No public pricing or minimums; service claims do not prove any specific file’s response quality.,Strong postal/direct-response and nonprofit/fundraising candidate.,high,current,RAW_OFFICIAL_FETCHES/conrad_direct_lists.html
Geon Media,list brokerage/list management/data hygiene,https://www.geonmedia.com/list-management/,"Official page describes acting as agent for list owners, finding marketers to rent files while owners retain ownership/control, plus processing and hygiene.","No public rates, counts, or file-level permission evidence.",Traditional list-management and specialty-audience candidate.,high,current,RAW_OFFICIAL_FETCHES/geon_media_list_management.html
DirectMail.com List Division,list brokerage/list management/direct mail,https://www.directmail.com/directory/services/list_management/,Official page states it offers list management and brokerage and recommends brokers/data compilers for precise audiences.,Public page does not establish a universal minimum or permission for email deployment.,Useful direct-mail and specialty-list inquiry lane.,high,current,RAW_OFFICIAL_FETCHES/directmail_list_management.html
AmeriList,list compiler/broker/manager,https://www.amerilist.com/list-services-compiled-direct-response-lists,"Official page describes compiled direct-response lists, list management, brokerage, aggregation, response lists, hygiene, append, and enhancement.","Counts, list-level consent, current file availability, and pricing require confirmation.","Broad consumer, B2B, nonprofit, automotive, healthcare, and specialty research lane.",high,current,RAW_OFFICIAL_FETCHES/amerilist_direct_response.html
Global Direct List Management,list management/list supplier,http://www.globaldirectmarketing.com/,"Official site describes full-service list management and direct-response postal, opt-in email, and telemarketing lists with financial/investor emphasis.","Dated site; no public rates, counts, or current deliverability policies.",Financial/investor and traditional postal/email list inquiry candidate.,medium,verify-before-use,RAW_OFFICIAL_FETCHES/global_direct.html
Response Dynamics / The Best Lists,list brokerage/list management,http://www.responsedynamicsinc.com/list.html,"Official page identifies The Best Lists as its in-house list company and describes brokerage, management, clearance/order coordination, delivery follow-up, and service-bureau support.",Dated page; current inventory and terms are not public.,Traditional direct-response list research candidate; confirm operations before use.,medium,verify-before-use,RAW_OFFICIAL_FETCHES/response_dynamics.html
Direct Response Associates / DRA Lists,list brokerage,https://dralists.com/lists,"Official page describes full-service brokerage, 60000+ specialty/subscription/response lists, research, negotiation, and reseller support.",Count and “lowest rates” are provider claims; no public minimums.,"Financial, insurance, subscription, and consumer response-list inquiry lane.",high,current,RAW_OFFICIAL_FETCHES/dra_lists.html
Key Marketing Advantage,list brokerage/list management/data services,https://www.keymarketingcorp.com/list_brokerage,"Official page describes list brokerage, list management, data enhancement/licensing, database development, modeling, merge/purge, segmentation, response analysis, and deployment/tracking.",No public rate card or minimums.,"Strong publishing, continuity, fundraising, financial, education, ecommerce, and consumer candidate.",high,current,RAW_OFFICIAL_FETCHES/key_marketing_advantage.html
Key Acquisition Partners / KAP,list brokerage/list management/lead generation,https://www.keyacquisition.com/what-we-do/,"Official page describes list brokerage for appeals, premiums, sponsorship/continuity, event attendees, major-donor prospects, email and international, plus management, hygiene, analytics, and digital media.",No public prices or minimums; email permission requires evidence.,"Fundraising, continuity, donor, and direct-response acquisition candidate.",high,current,RAW_OFFICIAL_FETCHES/kap_key_acquisition.html
WS Ponton,list brokerage/email/data/media,https://www.wsponton.com/distinct-marketing-solutions/,"Official page describes exclusive postal data, opt-in email marketing, telemarketing data, list brokerage, online display, and audience evaluation across demographic/geographic factors.","“Opt-in” is a provider claim; require consent, suppression, and permitted-use evidence.","Investor, insurance, real-estate, financial, affluent, donor, and mail-order audience inquiry.",high,current,RAW_OFFICIAL_FETCHES/ws_ponton.html
North American Direct Marketing,list brokerage/list management/alternative media,https://northamericandirectmarketing.com/services,"Official page describes management of 200+ Canadian/U.S. business and consumer lists, postal/email lists, hygiene, merge/purge, package inserts, co-op, and alternative media.",No public prices or minimums; geography and current files require confirmation.,"Publisher, subscriber, catalog, fundraising, and continuity-list inquiry.",high,current,RAW_OFFICIAL_FETCHES/north_american_direct.html
McCarthy Media Group,list brokerage/media planning,https://www.mccarthymediagroup.com/brokerage-services.html,"Official page describes list brokerage, media planning, strategy, analytics, direct mail, email, insert media, response analysis, and count requests.",No public rates or minimums.,General direct-response postal/email/insert-media candidate.,high,current,RAW_OFFICIAL_FETCHES/mccarthy_media.html
INFOCUS Marketing,list management/email/direct mail,https://lists.infocusmarketing.com/,"Official site describes list management for associations, businesses, and nonprofits, rental-income optimization, database control/security, and direct-mail/email service.",Old footer date is a freshness signal; current operating terms require confirmation.,Owner-side management and list monetization candidate.,high,verify-before-use,RAW_OFFICIAL_FETCHES/infocus_lists.html
Belardi Wong,managed media/acquisition agency,https://belardiwong.com/,"Official site describes cross-channel strategy, direct mail/offline media, digital media, acquisition, retention, analytics, and programmatic/triggered direct mail.",Agency capability is not proof of third-party list rental inventory.,"Adjacent managed-acquisition and media-planning candidate for premium brands, ecommerce, catalogs, and nonprofits.",high,current,RAW_OFFICIAL_FETCHES/belardi_wong.html
Outcome Media / legacy Worldata,email/data/media services,https://outcomemedia.com/,Current official site is live; the former Worldata URL redirects into an Outcome Media-branded environment with email production/acquisition and data-service signals.,Brand migration makes exact current Worldata list-rental scope ambiguous.,Verify directly before treating as a current list broker or email-media provider.,medium,verify-before-use,RAW_OFFICIAL_FETCHES/outcome_media.html
The Agora Companies,publisher/list owner,https://theagora.com/,Official corporate publisher site is live and represents the current Agora Companies publisher entity.,Corporate presence does not prove that any named file is currently rentable.,Publisher/list-owner discovery for financial and investment-information audiences; confirm through a broker/datacard.,medium,current,RAW_OFFICIAL_FETCHES/agora_companies.html
Bottom Line / former Boardroom file signal,publisher/list provenance,https://lists.nextmark.com/market?page=order/online/datacard&id=413017,Current NextMark datacard evidence identifies a Bottom Line/Agora Financial or former-Boardroom lineage in the list-rental ecosystem.,"Historical brand continuity is not proof of current owner, availability, or rental permission.","Historical/provenance lead for broker confirmation, not a standalone current vendor recommendation.",medium,verify-before-use,RAW_OFFICIAL_FETCHES/bottom_line_datacard.html
10DollarSoloAds,managed solo-ad/traffic vendor,https://www.10dollarsoloads.com/,"Official site publishes niche/geographic targeting, tracking claims, and low-cost prospect-reach packages.","Prospects reached are not equivalent to unique clicks, opt-ins, or qualified leads; underlying list owners are not named.","Only a small controlled test, with independent tracking and written terms.",medium,verify-before-use,RAW_OFFICIAL_FETCHES/10dollar_solo_ads.html
EasySoloAds,managed solo-ad/traffic vendor,https://www.easysoloads.com/,"Official site publishes tiered packages, niche/geographic targeting, and third-party tracking claims.","“Fresh,” “verified,” and “spam-free” claims lack public consent audit; campaigns become final after start.",High-caution test-only lane.,medium,verify-before-use,RAW_OFFICIAL_FETCHES/easy_solo_ads.html
TrafficForMe,managed traffic broker,https://trafficforme.com/,"Official site describes managed email traffic, niche packages, CPC delivery, and proprietary filtering claims.",Underlying lists are not named; current independent review evidence reported a low score and delivery/refund complaints.,"High-risk; do not scale without a small test, first-party analytics, and enforceable refund terms.",medium,high-risk,RAW_OFFICIAL_FETCHES/trafficforme.html
SoloAdsX,solo-ad directory/community,https://soloadsx.com/directory/,"Official directory describes vendor discovery, niche filters, hand-picked/proven-vendor positioning, and direct contact.","Directory is not escrow, standardized tracking, or a platform-wide refund guarantee.",Discovery only; diligence each listed seller independently.,medium,current,RAW_OFFICIAL_FETCHES/soloadsx_directory.html
My Lead Gen Secret,lead distribution/list-owner network,https://www.myleadgensecret.com/,"Official sales page describes permission-based lead collection, downloadable leads, and a done-for-you mailing system.","Exact opt-in wording, exclusivity, transferability, suppression, and lawful-use scope require audit.","Lead-distribution model, not a direct substitute for a named-list solo ad.",medium,verify-before-use,RAW_OFFICIAL_FETCHES/my_lead_gen_secret.html
Gen3 Marketing,affiliate/performance marketing agency,https://gen3marketing.com/,"Official site describes affiliate, influencer, paid-media, finance, and full-funnel performance services.","No public email-list policy, minimum, or agency fee schedule.","Hands-on recruitment/management candidate, not an open marketplace.",medium,current,RAW_OFFICIAL_FETCHES/gen3_marketing.html
Acceleration Partners,affiliate/influencer management agency,https://www.accelerationpartners.com/,"Official site describes affiliate/influencer management for 200+ brands, content, retail media, performance PR, loyalty, and sub-affiliate partnerships.",No blanket email approval or public fee card.,Enterprise partnership-management candidate; request minimum scale and email-specific approval.,medium,current,RAW_OFFICIAL_FETCHES/acceleration_partners.html
DMA UK,direct marketing trade association,https://www.dma.org.uk/,"Official association site provides member discovery, councils, events, legal/compliance resources, research, training, and the DMA Code.",Membership is not list inventory.,U.K./European practitioner and responsible-data-marketing discovery.,high,current,RAW_OFFICIAL_FETCHES/dma_uk.html
FEDMA,European data/marketing trade association,https://www.fedma.org/,Official site represents a European data and marketing association/network with policy and practitioner resources.,Association access does not prove any specific list or vendor reputation.,European association and regulatory-network discovery.,high,current,RAW_OFFICIAL_FETCHES/fedma.html
NEMOA,catalog/ecommerce direct marketing community,https://www.nemoa.org/,Official site describes a multichannel direct-marketing and ecommerce community with summits and practitioner/vendor networking.,Community access is not list inventory.,"Warm-introduction layer for catalog, ecommerce, retention, and multichannel direct marketers.",high,current,RAW_OFFICIAL_FETCHES/nemoa.html
IAB,digital advertising trade association,https://www.iab.com/,"Official site provides digital advertising standards, committees, events, research, and publisher/ad-tech networking.",Digital advertising membership does not establish permissioned response-list access.,"Digital audience, publisher, programmatic, identity, and media-buyer discovery.",high,current,RAW_OFFICIAL_FETCHES/iab.html
MediaPost,marketing publication/events,https://www.mediapost.com/,"Official site presents marketing publications and events covering email, performance, planning/buying, data/programmatic, and media.",Publication/event participation is not list inventory or endorsement.,"Practitioner and event-based discovery of active buyers, publishers, and agencies.",high,current,RAW_OFFICIAL_FETCHES/mediapost.html
Melissa Mailing Lists,data/list marketplace,https://www.melissa.com/direct/mailing-lists-sales-leads,"Official page describes consumer, business, homeowner, new-mover, property, specialty, and professional mailing-list/data products.",List/data capability does not prove permissioned email deployment or response quality.,Direct-mail/data audience-definition and testing lane.,high,current,RAW_OFFICIAL_FETCHES/melissa_lists.html
beehiiv Ad Network,newsletter sponsorship network,https://www.beehiiv.com/ad-network,"Official page describes SSP-style sponsored links, publisher acceptance/rejection, verified clicks/opens, and advertiser access to thousands of newsletters.","No public advertiser rate card; network access does not prove a specific newsletter’s consent, quality, or performance.",Native newsletter sponsorships where the publisher and placement are clearly identified.,high,current,RAW_OFFICIAL_FETCHES/beehiiv_ad_network.html
LetterWell,self-serve newsletter sponsorship marketplace,https://letterwell.co/advertisers-faqs/,"Official advertiser FAQ describes newsletter discovery, filters, Instant Booking, publisher-set prices, and escrow-style release after campaign conditions.","Listing metrics and “vetted” language do not replace publisher-level consent, delivery, or complaint diligence.",Most transparent self-serve newsletter-placement test among reviewed marketplaces.,high,current,RAW_OFFICIAL_FETCHES/letterwell_advertisers.html
Hecto,newsletter sponsorship marketplace,https://www.hecto.io/,"Official site describes creator/newsletter ad buying, selling, campaign management, messaging, checkout, and a 5% platform fee with no monthly fee.",Platform fee and checkout do not prove audience quality or advertiser approval.,Creator newsletter sponsorships with visible listing-level economics.,high,current,RAW_OFFICIAL_FETCHES/hecto.html
SponsorGap,sponsorship discovery database/marketplace,https://sponsorgap.com/,"Official site describes sponsor intelligence, creator listings, outreach tools, inbound ad slots, and published $39/$89/$199 monthly plans.",Discovery/contact intelligence is not guaranteed ad inventory or proof of publisher consent/performance.,"Find sponsors, creators, and newsletter sponsorship opportunities; verify every actual placement.",high,current,RAW_OFFICIAL_FETCHES/sponsorgap.html
KreatorStack,early-stage newsletter sponsorship marketplace,https://kreatorstack.com/,"Official homepage describes AI-assisted newsletter discovery, creator profiles, deal pipeline, pricing benchmarks, and private-beta listings.","Private-beta status means inventory, payments, verification, and campaign terms are immature or unclear.",Monitor or test only after confirming current operational terms.,medium,private-beta,RAW_OFFICIAL_FETCHES/kreatorstack.html
LiveIntent,managed email advertising/monetization network,https://www.liveintent.com/,Official domain presents marketer and publisher email advertising/monetization solutions and people-based advertising across publisher inventory.,No public rate card; direct automated verification of detailed policy pages was blocked.,"Managed email advertising and publisher monetization, sales-led.",medium,blocked_manual_recheck,RAW_OFFICIAL_FETCHES/liveintent.html
Jeeng,publisher email monetization/personalization platform,https://www.jeeng.com/,"Official domain presents publisher-led email monetization, personalization, recommendations, and ad products.",Not an open booking marketplace; detailed current data/consent terms were blocked to direct retrieval.,"Publisher monetization or managed recommendation/ad channel, not raw list access.",medium-low,blocked_manual_recheck,RAW_OFFICIAL_FETCHES/jeeng.html
SmartBrief,B2B newsletter publisher,https://www.smartbrief.com/advertise,"Official advertising page describes newsletter sponsorships, dedicated sends, display, content syndication, special reports, and audience targeting; claims 6M+ readers/day.",Audience metrics are publisher claims; no raw-list rental or individual-address transfer is established.,"B2B operator, professional, and industry-specific newsletter campaigns.",high,current,RAW_OFFICIAL_FETCHES/smartbrief_advertise.html
Search Engine Journal,B2B marketing newsletter/publisher,https://www.searchenginejournal.com/advertise/,"Official advertising page describes dedicated email, newsletters, sponsored content, webinars, lead-gen, and media inventory; identifies managers and purchasing decision-makers.",No public rate card; newsletter audience evidence does not equal transferable list access.,"SEO, martech, agency, SaaS, and digital-marketing offers.",high,current,RAW_OFFICIAL_FETCHES/search_engine_journal_advertise.html
B2B Marketing,B2B publisher/community,https://www.b2bmarketing.net/growth-solutions/,"Official page describes B2B marketer decision-maker reach and Intelligence, Connect, and Reach programs including content syndication, research, podcasts, webinars, and events.",Most mechanics and pricing are sales-led; no raw-list rental claim.,"B2B services, agencies, software, and operator offers.",high,current,RAW_OFFICIAL_FETCHES/b2b_marketing_growth.html
Marketing Dive,B2B publisher newsletter/media kit,https://www.marketingdive.com/advertise/,"Super Browser Playwright capture shows the live advertising page positions inventory before marketers and brand managers; it reports 434,000 industry decision makers, 273,500 newsletter subscribers, 160,500 unique monthly visitors, 49% audience growth, marketing campaigns, and gated media-kit access.","Exact formats, pricing, minimums, and list-transfer rights are not shown; publisher audience figures are claims, not transferable-list proof.","Brand, marketing, agency, data, and commerce offers via publisher media buying.",high,current_browser_verified,RAW_OFFICIAL_FETCHES/marketing_dive_advertise.browser.txt
CIO Dive,B2B technology publisher/newsletter,https://www.ciodive.com/advertise/,"Super Browser Playwright capture shows the live advertising page positions inventory before IT executives; it reports 191,000 industry decision makers, 110,000 newsletter subscribers, 81,000 unique monthly visitors, 53% audience growth, marketing campaigns, and gated media-kit access.","Exact formats, pricing, minimums, and list-transfer rights are not shown; publisher audience figures are claims, not transferable-list proof.","B2B technology, security, infrastructure, and IT-operator offers via publisher media buying.",high,current_browser_verified,RAW_OFFICIAL_FETCHES/cio_dive_advertise.browser.txt
Retail Dive,B2B retail publisher/newsletter,https://www.retaildive.com/advertise/,"Super Browser Playwright capture shows the live advertising page positions inventory before retail executives; it reports 626,500 industry decision makers, 366,500 newsletter subscribers, 260,000 unique monthly visitors, 24% audience growth, marketing campaigns, and gated media-kit access.","Exact formats, pricing, minimums, and list-transfer rights are not shown; publisher audience figures are claims, not transferable-list proof.","Retail technology, payments, ecommerce, merchandising, and DTC offers via publisher media buying.",high,current_browser_verified,RAW_OFFICIAL_FETCHES/retail_dive_advertise.browser.txt
HR Dive,B2B HR publisher/newsletter,https://www.hrdive.com/advertise/,"Super Browser Playwright capture shows the live advertising page positions inventory before HR and workforce-management executives; it reports 476,000 industry decision makers, 251,000 newsletter subscribers, 183,000 unique monthly visitors, 4% audience growth, marketing campaigns, and gated media-kit access.","Exact formats, pricing, minimums, and list-transfer rights are not shown; publisher audience figures are claims, not transferable-list proof.","HR tech, recruiting, benefits, compliance, and workforce offers via publisher media buying.",high,current_browser_verified,RAW_OFFICIAL_FETCHES/hr_dive_advertise.browser.txt
Healthcare Dive,B2B healthcare publisher/newsletter,https://www.healthcaredive.com/advertise/,"Super Browser Playwright capture shows the live advertising page positions inventory before hospital and healthcare executives; it reports 327,000 industry decision makers, 170,000 newsletter subscribers, 157,000 unique monthly visitors, 32% audience growth, marketing campaigns, and gated media-kit access.","Exact formats, pricing, minimums, and list-transfer rights are not shown; publisher audience figures are claims, not transferable-list proof.","Healthcare IT, services, finance, operations, and compliance offers via publisher media buying.",high,current_browser_verified,RAW_OFFICIAL_FETCHES/healthcare_dive_advertise.browser.txt
Restaurant Dive,B2B restaurant publisher/newsletter,https://www.restaurantdive.com/advertise/,"Super Browser Playwright capture shows the live advertising page positions inventory before restaurant and dining executives; it reports 164,000 industry decision makers, 50,000 newsletter subscribers, 114,000 unique monthly visitors, 32% audience growth, marketing campaigns, and gated media-kit access.","Exact formats, pricing, minimums, and list-transfer rights are not shown; publisher audience figures are claims, not transferable-list proof.","Restaurant payments, operations, marketing, ecommerce, and technology offers via publisher media buying.",high,current_browser_verified,RAW_OFFICIAL_FETCHES/restaurant_dive_advertise.browser.txt
Chief Marketer,marketing publisher/community,https://www.chiefmarketer.com/advertise/,"Official page describes a broad marketer/agency audience and offers a gated media kit, events, research, and advertising services.",Exact inventory and pricing are gated; audience scale is not a response guarantee.,"Broad B2B marketing, agency, CPG, retail, financial-services, and technology offers.",high,current,RAW_OFFICIAL_FETCHES/chief_marketer_advertise.html
Digiday,media/marketing publisher,https://digiday.com/advertise/,"Official page describes advertising/sponsorship opportunities and daily email access for media, marketing, and digital-business professionals.",Exact newsletter placements and pricing require sales contact.,"Media, adtech, digital marketing, publisher, and operator offers.",high,current,RAW_OFFICIAL_FETCHES/digiday_advertise.html
Morning Brew Inc.,business/finance newsletter publisher,https://morningbrewinc.com/advertise-with-us,"Official page describes multiple newsletter brands, direct creator/editor partnerships, native advertising, and multiplatform storytelling.",Publisher reach and campaign performance are not independently audited here; no raw-list rental claim.,"Business, finance, technology, and lifestyle sponsorships.",high,current,RAW_OFFICIAL_FETCHES/morning_brew_advertise.html
The Daily Upside,finance newsletter publisher,https://www.thedailyupside.com/advertise-with-us/,"Official advertising page describes newsletter campaigns and reports subscriber figures for Daily Upside, Advisor Upside, and ETF Upside.",Subscriber figures are publisher claims; no individual-level export or raw-list rental claim.,"Investing, fintech, wealth management, retirement, and financial-services offers.",high,current,RAW_OFFICIAL_FETCHES/daily_upside_advertise.html
theSkimm,consumer newsletter/media publisher,https://advertising.theskimm.com/,"Official advertising site reports reach, demographic and household-decision-maker audience claims plus newsletter, social, video, web, targeting, and custom-content solutions.",Audience and action metrics are publisher claims; no raw-list rental claim.,"Consumer, lifestyle, health, shopping, and women’s audience sponsorships.",high,current,RAW_OFFICIAL_FETCHES/theskimm_advertise.html
NYT Advertising,premium publisher/newsletter media,https://advertising.nytimes.com/,"Official advertising portal lists newsletter, audio, display, print, custom content, audience insights, and targeting solutions.",Premium publisher media is negotiated; no transferable list or guaranteed response.,"High-consideration, affluent/informed consumer, news, finance, culture, and brand-direct-response hybrid campaigns.",high,current,RAW_OFFICIAL_FETCHES/nyt_advertising.html
Hearst Magazines,publisher portfolio/newsletter media,https://advertising.hearstmagazines.com/advertising,"Official advertising page describes newsletter, print, social, video, commerce, branded content, and targeting across lifestyle, food, automotive, home, travel, and women’s brands.",Portfolio reach does not establish availability of a specific newsletter or raw-list rental.,"Consumer product, commerce, lifestyle, automotive, home, food, and travel campaigns.",high,current,RAW_OFFICIAL_FETCHES/hearst_advertising.html
The Atlantic,premium publisher/newsletter media,https://www.theatlantic.com/advertising/,"Official advertising page offers audience insights, multi-platform solutions, digital display, and a 2026 media kit.",Likely sales-led and premium-priced; no raw-list rental claim.,"High-consideration, premium consumer, culture, policy, and finance offers.",high,current,RAW_OFFICIAL_FETCHES/atlantic_advertising.html
